Bill_No,F_TASTE,F_PRESENT,F_TEMPERA,S_QUALITY,S_COURTESY,S_PROMPTNE,A_REMARKS,COUNTRY,TABLE_NO,SALE,excellent,worse,awesome,good
239,2,2,2,2,1,1,"Serve Smaller Portions, So That The Food In The Plate Does Not Get Cold.",India,44,13297,FALSE,FALSE,FALSE,FALSE
240,1,1,2,1,1,1,Loved The Food,India,50,12122,FALSE,FALSE,FALSE,FALSE
241,1,1,1,2,2,2,Do Not Change Touchless All Time Long Please.,India,12,7985,FALSE,FALSE,FALSE,FALSE
242,1,2,2,2,1,2,Nice Hospitality,India,46,2952,FALSE,FALSE,FALSE,FALSE
243,2,1,2,1,1,2,Well Done! Keep It Up,India,21,884,FALSE,FALSE,FALSE,FALSE
244,1,1,1,1,1,1,Giving Ambience Will Good Music.,India,42,4703,FALSE,FALSE,FALSE,TRUE
245,1,1,1,1,2,2,"We Had A Good Time, Thank You!",India,24,1068,FALSE,FALSE,FALSE,TRUE
246,1,1,2,1,1,1,The Food Was Excellent And So Were The Portions.,India,42,276,TRUE,FALSE,FALSE,FALSE
247,1,1,1,1,1,1,"I Visited Here For The First Time 1) S?mbhar Is The Best S?mbhar, I There Had.,   2) Red Chilled Was Too Good, If I Can Get Receipted.",India,38,19276,FALSE,FALSE,FALSE,TRUE
248,1,1,1,1,1,1,Absolutely Awesome,India,38,5375,FALSE,FALSE,TRUE,FALSE
249,1,1,1,1,1,1,Live Music,India,9,6280,FALSE,FALSE,FALSE,FALSE
250,1,1,2,1,2,1,Food Is Very Good,India,45,6684,FALSE,FALSE,FALSE,TRUE
251,1,1,1,1,1,2,Good Food,India,8,11007,FALSE,FALSE,FALSE,TRUE
252,1,1,1,1,1,1,God Food Good Service,India,16,13184,FALSE,FALSE,FALSE,TRUE
253,1,1,1,1,1,1,Salt Was Not Present In Dal Lakhani And Mix Veg. Here Bara Kebab Was Extremely Good.,India,34,2533,FALSE,FALSE,FALSE,TRUE
254,1,1,2,1,1,1,Color Of Butter Chicken Is Too Dark.,India,41,18060,FALSE,FALSE,FALSE,FALSE
255,1,1,1,1,1,1,Good,India,31,1105,FALSE,FALSE,FALSE,TRUE
256,1,1,1,1,1,2,Great,India,42,1564,FALSE,FALSE,FALSE,FALSE
257,1,1,1,1,1,1,Amazing,India,49,9516,FALSE,FALSE,FALSE,FALSE
258,2,2,1,2,1,2,Pad Thai Noodles Was Not As Per What It Should Be Like,India,9,16552,FALSE,FALSE,FALSE,FALSE
259,1,1,1,1,1,2,Very Good Over All,India,37,18796,FALSE,FALSE,FALSE,TRUE
260,1,1,1,1,1,1,Too Much Lemon In My Dishes,India,18,3952,FALSE,FALSE,FALSE,FALSE
261,2,1,2,1,1,1,Fantastic Service,India,24,9225,FALSE,FALSE,FALSE,FALSE
262,1,1,1,1,1,1,Good,India,43,17268,FALSE,FALSE,FALSE,TRUE
263,1,1,2,2,2,1,Please Increase Fresh Veg Inside The Restraint.,India,19,549,FALSE,FALSE,FALSE,FALSE
264,1,1,1,1,1,1,Good Food Good Staff Good Ambience,India,42,6173,FALSE,FALSE,FALSE,TRUE
265,1,1,1,1,1,2,Waiters Mouth Stinks,India,49,5680,FALSE,FALSE,FALSE,FALSE
266,1,1,1,1,1,1,No Complaints,India,2,17271,FALSE,FALSE,FALSE,FALSE
267,1,2,2,1,1,2,Keep A Letter Pen For Filling Oat These Forms,India,9,1083,FALSE,FALSE,FALSE,FALSE
268,1,1,1,1,1,1,Good,India,34,13414,FALSE,FALSE,FALSE,TRUE
269,1,1,1,1,1,1,Just Be The Way It Is,India,18,14234,FALSE,FALSE,FALSE,FALSE
270,1,1,1,1,1,1,Good Food,India,9,7918,FALSE,FALSE,FALSE,TRUE
271,1,1,1,1,1,1,Excellent,India,33,4728,TRUE,FALSE,FALSE,FALSE
272,1,1,1,1,1,1,I Love Coming To Much My Favorite Place.,India,11,7531,FALSE,FALSE,FALSE,FALSE
273,1,1,1,1,1,1,Kofi Was Superb,India,25,13550,FALSE,FALSE,FALSE,FALSE
274,1,1,1,1,1,1,Good,India,46,18968,FALSE,FALSE,FALSE,TRUE
275,1,1,1,1,1,2,Keep It Up,India,50,18194,FALSE,FALSE,FALSE,FALSE
276,1,1,1,1,1,1,Perfection Can't Be Amended,India,2,9654,FALSE,FALSE,FALSE,FALSE
277,1,1,1,1,1,2,Thumbs Up Keep Up The Good Work,India,19,7161,FALSE,FALSE,FALSE,TRUE
278,1,1,1,1,1,1,Very Quite Place,India,26,7576,FALSE,FALSE,FALSE,FALSE
279,2,1,1,1,1,1,Taste Used To Be Better 6 Month Ago,India,18,2075,FALSE,FALSE,FALSE,FALSE
280,1,1,1,1,1,1,I Had A Great Time,India,13,7214,FALSE,FALSE,FALSE,FALSE
281,1,1,1,1,1,1,Everything Was Fine,India,8,18874,FALSE,FALSE,FALSE,FALSE
282,1,1,1,1,1,1,Everything In Good,India,15,1342,FALSE,FALSE,FALSE,TRUE
283,1,1,1,1,1,1,Keep Up The Good Work,India,14,15754,FALSE,FALSE,FALSE,TRUE
284,1,1,1,1,1,1,Will Be Visit Again,India,39,19283,FALSE,FALSE,FALSE,FALSE
285,1,1,1,1,1,1,Good Work Help It Up,India,19,10271,FALSE,FALSE,FALSE,TRUE
286,1,1,1,1,1,1,Always A Pleasure,India,46,9566,FALSE,FALSE,FALSE,FALSE
287,2,2,2,2,2,2,Good,India,20,14604,FALSE,FALSE,FALSE,TRUE
288,1,1,1,1,1,1,Offer Some Discount To Your Regular Customer.,India,49,13747,FALSE,FALSE,FALSE,FALSE
289,1,1,1,1,1,1,Delicious Food,India,43,19662,FALSE,FALSE,FALSE,FALSE
290,1,1,1,1,1,1,Keep It Up,India,4,2021,FALSE,FALSE,FALSE,FALSE
291,2,1,1,1,1,2,None,India,45,9786,FALSE,FALSE,FALSE,FALSE
292,1,1,1,1,1,1,Keep It Up,India,41,1607,FALSE,FALSE,FALSE,FALSE
293,2,1,1,2,2,2,Quality Should Be Little More High.,India,9,5317,FALSE,FALSE,FALSE,FALSE
294,1,1,1,1,1,1,Good,India,36,8033,FALSE,FALSE,FALSE,TRUE
295,1,1,1,1,1,1,Be Provide The Earlier.,India,36,13647,FALSE,FALSE,FALSE,FALSE
296,2,2,1,1,1,1,Room For Improvement,India,49,15271,FALSE,FALSE,FALSE,FALSE
297,1,1,1,1,1,2,Size Of Samosa Should Be Smaller. One Whole Is Too Heavy.,India,15,15011,FALSE,FALSE,FALSE,FALSE
298,1,1,1,1,1,2,Delay In The Food Order To Come Can Be Dealt With.,India,3,16780,FALSE,FALSE,FALSE,FALSE
299,1,1,1,1,1,1,Great Menu And Food,India,5,17851,FALSE,FALSE,FALSE,FALSE
300,1,1,1,1,1,1,Very Nice Ambience.,India,20,15869,FALSE,FALSE,FALSE,FALSE
301,2,2,2,2,2,3,Lamb Chops Were Tough And Took Too Long To Be Served.,India,46,19256,FALSE,FALSE,FALSE,FALSE
302,1,1,1,1,1,1,Food Was Excellent,India,41,7335,TRUE,FALSE,FALSE,FALSE
303,1,1,1,1,1,1,Keep It Up,India,4,11818,FALSE,FALSE,FALSE,FALSE
304,1,1,1,1,1,1,Overall Very Good Experience.,India,32,9202,FALSE,FALSE,FALSE,TRUE
305,1,1,1,1,1,1,The Food Was Delicious,India,24,11741,FALSE,FALSE,FALSE,FALSE
306,1,2,2,1,2,2,Can You Put On Some Better Music Please And Give Better Pen!,India,7,12623,FALSE,FALSE,FALSE,FALSE
307,1,1,1,1,1,1,Thanks For The Cleanliness Of The Washroom And The Redecorated Set Up! Enjoyed Our Experience,India,6,15100,FALSE,FALSE,FALSE,FALSE
308,1,2,1,1,1,1,Good Food,India,1,15987,FALSE,FALSE,FALSE,TRUE
309,1,1,1,1,1,1,Nice Food And Service,India,43,9032,FALSE,FALSE,FALSE,FALSE
310,1,1,1,1,1,1,Excellent,India,12,9815,TRUE,FALSE,FALSE,FALSE
311,2,2,1,1,1,1,"On The Whole, It Is Quite Good.",India,46,4091,FALSE,FALSE,FALSE,TRUE
312,1,1,1,1,1,1,Good Food,India,32,7241,FALSE,FALSE,FALSE,TRUE
313,2,2,1,2,2,1,Keep Spicy,India,18,981,FALSE,FALSE,FALSE,FALSE
314,1,1,1,1,1,1,"We Ordered The Signature Butter Chicken, Nice But A Bit Too Sweet, Plus See",India,39,19520,FALSE,FALSE,FALSE,FALSE
315,1,1,1,1,1,1,Nice Food  ,India,48,4269,FALSE,FALSE,FALSE,FALSE
316,1,1,1,1,1,1,Great,India,7,18436,FALSE,FALSE,FALSE,FALSE
317,2,2,2,2,1,1,Excellent Food ,India,26,19264,TRUE,FALSE,FALSE,FALSE
318,1,1,1,1,1,1,Nice Food,India,5,10759,FALSE,FALSE,FALSE,FALSE
319,1,1,1,1,1,1,No Comments,India,16,2556,FALSE,FALSE,FALSE,FALSE
320,2,1,1,1,1,1,Multan Jib Had Been Very Good And Courtesan To Us. Thanks,India,36,1224,FALSE,FALSE,FALSE,TRUE
321,1,1,1,1,1,1,Food Its Really Nice.,India,3,17304,FALSE,FALSE,FALSE,FALSE
322,1,1,1,1,1,1,Always An Enjoyable Experience Very Nostalgic.,India,12,9727,FALSE,FALSE,FALSE,FALSE
323,1,1,2,1,1,1,Great Club Sandwiches,India,33,7502,FALSE,FALSE,FALSE,FALSE
324,1,1,1,1,1,1,Good,India,48,3218,FALSE,FALSE,FALSE,TRUE
325,1,1,1,1,1,2,Keep It Up (Add Some Nuts And Papa With drink),India,6,3595,FALSE,FALSE,FALSE,FALSE
326,1,1,1,1,1,1,Good As Always,India,36,7750,FALSE,FALSE,FALSE,TRUE
327,1,1,1,1,1,2,"On The Whole Very Good, These Should Be Greater Varity In Sauces. The Banana In The Banana Spilt Could Be Sweeter.",India,28,7554,FALSE,FALSE,FALSE,TRUE
328,1,1,1,1,1,1,Good,India,4,5139,FALSE,FALSE,FALSE,TRUE
329,1,1,2,1,1,2,Keep Up The Good Work,India,16,5565,FALSE,FALSE,FALSE,TRUE
330,1,1,1,1,1,1,Cocktail The Same,India,3,5433,FALSE,FALSE,FALSE,FALSE
331,1,1,1,1,1,1,A Very Nice And Satisfaction Experience.,India,35,7850,FALSE,FALSE,FALSE,FALSE
332,1,1,1,1,1,1,A Bit Dinners In Light And Candles Could Have Nab It A Perfect Dinning.,India,20,102,FALSE,FALSE,FALSE,FALSE
333,1,1,1,1,1,2,Neat Place,India,16,11727,FALSE,FALSE,FALSE,FALSE
334,1,1,1,1,1,1,Very Good Meal,India,27,19512,FALSE,FALSE,FALSE,TRUE
335,1,1,1,2,1,1,Well Visit Again,India,29,15579,FALSE,FALSE,FALSE,FALSE
336,1,1,2,1,1,1,First Floor Temperature Is Can Warm side.,India,12,5968,FALSE,FALSE,FALSE,FALSE
337,1,1,1,1,1,1,Thanks You For The Timeless Taste,India ,32,15988,FALSE,FALSE,FALSE,FALSE
338,1,1,1,1,1,1,Good Experience,India,5,8314,FALSE,FALSE,FALSE,TRUE
339,1,1,1,1,1,1,"Can't Think Of Any Feedback To Make And Better The Place Is Already Above Average, One Of Our Family Fat.",India,23,7425,FALSE,FALSE,FALSE,FALSE
340,2,3,1,3,2,2,Very Expensive Nous Than Earlier.,India,38,2534,FALSE,FALSE,FALSE,FALSE
341,1,1,3,1,1,3,Need To Be More Prompt As We Were Wafting For Sweet Dish To Serve For Around 1/2 Hours.,India,30,19242,FALSE,FALSE,FALSE,FALSE
342,1,1,2,1,1,1,"Increase Temperature, It Si Very Cold",India,42,13719,FALSE,FALSE,FALSE,FALSE
343,1,1,1,1,1,1,I Will Come Back,India,49,19466,FALSE,FALSE,FALSE,FALSE
344,1,1,1,1,1,1,Perfect  ,India,44,2430,FALSE,FALSE,FALSE,FALSE
345,1,1,1,1,1,1,Nice Worm Friendly Atmosphere As Always Cheers!!,India,46,15986,FALSE,FALSE,FALSE,FALSE
346,3,2,1,2,2,1,Sandwich Was Too Sweet Put Less Tomatoes And More Of All Other Promised Vegetables.,India,26,3339,FALSE,FALSE,FALSE,FALSE
347,1,1,1,1,1,1,"I Tried Baingan March Ki Salam, It Could Have Been More Spicy As Usual Hyderabad  Dishes Are. Rest Was Awesome",India,50,17827,FALSE,FALSE,TRUE,FALSE
348,1,1,1,1,1,2,Keep It Up,India,13,11194,FALSE,FALSE,FALSE,FALSE
349,1,1,1,1,1,1,Amazing Ambience And Amazing Long Menu,India,8,17487,FALSE,FALSE,FALSE,FALSE
350,1,1,1,1,1,1,Food As Good As Ever! Keep It Up!!,India,3,10491,FALSE,FALSE,FALSE,TRUE
351,1,1,1,1,1,1,Excellent,India,3,10360,TRUE,FALSE,FALSE,FALSE
352,1,1,1,1,1,2,Good Snacks,India,48,14630,FALSE,FALSE,FALSE,TRUE
353,1,1,1,1,1,1,Love This Place,India,13,14250,FALSE,FALSE,FALSE,FALSE
354,2,1,2,1,1,1,Extremely Cooperative And Help-Full Waiters,India,23,1393,FALSE,FALSE,FALSE,FALSE
355,1,1,1,1,1,1,Had A Great Experience,India,5,9573,FALSE,FALSE,FALSE,FALSE
356,1,1,1,1,1,2,To Be Keep Up,India,50,9186,FALSE,FALSE,FALSE,FALSE
357,1,1,1,1,1,1,Great Going,India,42,4248,FALSE,FALSE,FALSE,FALSE
358,1,1,1,1,1,1,We Have Our Experience Here.,India,44,3461,FALSE,FALSE,FALSE,FALSE
359,1,2,1,1,1,1,Great Food Also Great Memories Of This Place.,India,10,8756,FALSE,FALSE,FALSE,FALSE
360,1,1,1,1,1,1,Excellent Dinner,India,27,9012,TRUE,FALSE,FALSE,FALSE
361,3,2,2,1,2,1,Please Play Some Nice Music,India,6,347,FALSE,FALSE,FALSE,FALSE
362,1,1,1,1,1,1,Great  Work In Keeping The Delhi Heritage  Alive.,India,39,14390,FALSE,FALSE,FALSE,FALSE
363,1,1,1,1,1,1,Good Overall,India,21,4674,FALSE,FALSE,FALSE,TRUE
364,1,1,2,1,1,1,Keep Up The Good Work,India,45,3886,FALSE,FALSE,FALSE,TRUE
365,1,1,1,1,1,1,Varity Of Food With Brilliant Tats,India,16,2599,FALSE,FALSE,FALSE,FALSE
366,1,2,1,1,1,2,Food Was Not As Good As Previous,India,23,6970,FALSE,FALSE,FALSE,TRUE
367,1,1,1,1,1,1,Very Tasty Food,India,6,9074,FALSE,FALSE,FALSE,FALSE
368,1,1,1,1,1,1,Nice Service,India,10,11794,FALSE,FALSE,FALSE,FALSE
369,1,1,1,1,1,1,If The Candles Will Have From The Floor Unbeatable.,India,14,2880,FALSE,FALSE,FALSE,FALSE
370,2,2,2,1,2,1,Lay outing Can Be Looked Into Again.,India,50,4944,FALSE,FALSE,FALSE,FALSE
371,1,2,1,1,1,1,Really Fantastic Cog An Vin. Will Comes B Ask Again.,India,30,14238,FALSE,FALSE,FALSE,FALSE
372,1,2,2,2,1,1,Ok Satisfactory,India,38,19106,FALSE,FALSE,FALSE,FALSE
373,1,1,1,1,1,1,Good Ambience And Tasty Food,India,32,12889,FALSE,FALSE,FALSE,TRUE
374,1,1,1,1,1,1,Great Food! Also Come The Ambience In On Old Much Fan!,India,6,7647,FALSE,FALSE,FALSE,FALSE
375,1,1,1,1,1,1,Good Food,India,36,13743,FALSE,FALSE,FALSE,TRUE
376,1,1,1,1,1,2,Very Tasty Food Lovely Ambience,India,2,2501,FALSE,FALSE,FALSE,FALSE
377,1,1,2,1,1,1,Nice Food,India,34,17637,FALSE,FALSE,FALSE,FALSE
378,1,1,1,1,1,1,Overall Experience Is Very Good,India,22,2580,FALSE,FALSE,FALSE,TRUE
379,1,1,1,1,1,1,Nice Food,India,27,18676,FALSE,FALSE,FALSE,FALSE
380,2,1,1,2,1,1,Very Good Better Then Before,India,7,3418,FALSE,FALSE,FALSE,TRUE
381,1,2,2,2,1,2,Food Is Expensive For Comman  Man Belonging  Too Cost,India,18,19518,FALSE,FALSE,FALSE,FALSE
382,1,1,1,1,1,1,Nice Ambience & Food Keep It Up,India,6,3933,FALSE,FALSE,FALSE,FALSE
383,1,1,1,1,1,1,Perfect,India,50,1221,FALSE,FALSE,FALSE,FALSE
384,1,2,1,1,1,1,Good Service,India,18,9770,FALSE,FALSE,FALSE,TRUE
385,1,1,2,1,1,1,Very Good Better Then Before,India,19,10342,FALSE,FALSE,FALSE,TRUE
386,1,1,1,1,1,1,Everything Was Great,India,18,1293,FALSE,FALSE,FALSE,FALSE
387,1,1,1,1,1,2,No Its Perfect,India,35,3360,FALSE,FALSE,FALSE,FALSE
388,1,1,1,1,1,1,Excellent,India,41,18439,TRUE,FALSE,FALSE,FALSE
389,1,1,1,1,1,1,Excellent Service,India,48,11103,TRUE,FALSE,FALSE,FALSE
390,1,1,1,1,1,1,Excellent,India,27,19292,TRUE,FALSE,FALSE,FALSE
391,2,1,1,1,1,1,The Description Of Shahn am Curry Mentions Sliced Cashewnuts Which Were Conspicuous By Their Absence In The Curry Is Not That Cheating Of Sort!,India,39,3761,FALSE,FALSE,FALSE,FALSE
392,1,1,1,1,1,1,Nice Experience,India,29,4700,FALSE,FALSE,FALSE,FALSE
393,1,1,1,1,1,1,Very Nice Restaurant The Ambience Of The Restaurant Is Very Nice.,India,49,3996,FALSE,FALSE,FALSE,FALSE
394,1,2,2,1,2,2,Tasty Food May Improve On Quantity.,India,35,10011,FALSE,FALSE,FALSE,FALSE
395,1,1,1,1,1,1,Excellent Keep It Up Very Impresive,India,49,383,TRUE,FALSE,FALSE,FALSE
396,1,1,1,1,1,1,Nice Ambience & Great Service.,India,12,3701,FALSE,FALSE,FALSE,FALSE
397,1,1,1,1,1,1,Excellent,India,4,19263,TRUE,FALSE,FALSE,FALSE
398,1,1,1,1,1,1,Airtel Vodafone Signal Is Weak ,India,11,4672,FALSE,FALSE,FALSE,FALSE
399,1,1,1,1,1,1,Overall A Good Experience,India,26,11218,FALSE,FALSE,FALSE,TRUE
400,1,1,1,1,1,1,kaala Jaamun Is Amazing,India,3,1598,FALSE,FALSE,FALSE,FALSE
401,1,1,1,1,1,1,Everything Was Great,India,7,17541,FALSE,FALSE,FALSE,FALSE
402,1,1,1,1,1,1,We Had Been Have Each Time Asked Beat In Delhi,India,33,5789,FALSE,FALSE,FALSE,FALSE
403,1,1,1,1,1,1,Good Food,India,45,9270,FALSE,FALSE,FALSE,TRUE
404,1,1,1,1,1,1,Everything Was Great,India,47,17443,FALSE,FALSE,FALSE,FALSE
405,1,1,1,1,1,1,Keep It Up Nice To Be Here After Long Time,India,7,15693,FALSE,FALSE,FALSE,FALSE
406,1,1,2,1,1,1,No Its Perfect,India,23,3269,FALSE,FALSE,FALSE,FALSE
407,2,2,2,1,1,2,Staff Is Courteons & Cordial,India,6,4534,FALSE,FALSE,FALSE,FALSE
408,1,1,1,1,1,1,The Biryani Was Blande Could Have Been Better,India,10,14080,FALSE,FALSE,FALSE,FALSE
409,2,2,2,3,2,2,The Prawns Were Not Fresh And The Coctail Was Over Spicy Plus Missing Abored,India,28,13943,FALSE,FALSE,FALSE,FALSE
410,2,2,1,2,1,1,No Its Perfect,India,32,17790,FALSE,FALSE,FALSE,FALSE
411,1,1,1,1,1,1,We Absolutely Love This Place And The Food Here Just Keep Up The Great Work!,India,36,7983,FALSE,FALSE,FALSE,FALSE
412,1,1,1,1,1,1,Everything Was Great,India,39,14639,FALSE,FALSE,FALSE,FALSE
413,1,1,1,1,1,1,Everything Was Great,India,7,16150,FALSE,FALSE,FALSE,FALSE
414,1,1,1,1,1,2,SPEED Of Service May Be Fastened,India,24,4777,FALSE,FALSE,FALSE,FALSE
415,2,2,2,2,2,2,Be More Attentive To The Table Set Up Guest's Needs Food Coming To The Table From The Kitchen,India,37,6285,FALSE,FALSE,FALSE,FALSE
416,1,1,2,1,1,1,May Be Quicker Presentation Of Order So That Waiting Period Is Reduced & More Dinners Benefit,India,43,3335,FALSE,FALSE,FALSE,FALSE
417,1,1,1,1,1,1,Good Service,India,48,18432,FALSE,FALSE,FALSE,TRUE
418,1,1,1,1,1,1,With Special Mention Pramod Excellent Service,India,23,16596,TRUE,FALSE,FALSE,FALSE
419,1,1,1,1,1,1,Very Good Better Then Before,India,30,4480,FALSE,FALSE,FALSE,TRUE
420,1,1,1,1,1,1,Everything Was Great,India,46,5117,FALSE,FALSE,FALSE,FALSE
421,1,1,1,1,1,1,Perfect,India,28,15345,FALSE,FALSE,FALSE,FALSE
422,1,1,1,1,3,3,Very Slow Otherwise Great,India,24,6100,FALSE,FALSE,FALSE,FALSE
423,1,2,1,1,1,1,Everything Was Great,India,48,14968,FALSE,FALSE,FALSE,FALSE
424,1,2,1,1,1,1,Good Food,India,48,18124,FALSE,FALSE,FALSE,TRUE
425,1,1,1,1,1,2,Excellent Service,India,25,7045,TRUE,FALSE,FALSE,FALSE
426,1,1,1,1,1,1,Keep It Up,India,45,15234,FALSE,FALSE,FALSE,FALSE
427,1,2,1,1,1,1,The Food Was Very Good In Taste And Especially Our Time,India,14,9517,FALSE,FALSE,FALSE,TRUE
428,2,2,2,2,1,1,The Pork Chops Seemed More Like Spine Ribs,India,20,2443,FALSE,FALSE,FALSE,FALSE
429,1,1,1,1,1,1,Great Service,India,42,5594,FALSE,FALSE,FALSE,FALSE
430,1,1,1,1,1,1,Keep It Up,India,34,3047,FALSE,FALSE,FALSE,FALSE
431,1,1,1,1,1,1,Sri Tahir Khan Was Very Courtions & Helpful,India,19,13776,FALSE,FALSE,FALSE,FALSE
432,1,1,1,1,1,1,Very Good Better Then Before,India,21,6280,FALSE,FALSE,FALSE,TRUE
433,1,1,1,1,1,1,No Its Perfect,India,49,5836,FALSE,FALSE,FALSE,FALSE
434,1,1,1,1,1,1,Excellent,India,48,4326,TRUE,FALSE,FALSE,FALSE
435,1,1,1,1,1,1,Excellent,India,40,16912,TRUE,FALSE,FALSE,FALSE
436,1,1,1,1,1,1,Very Good Better Then Before,London,35,13342,FALSE,FALSE,FALSE,TRUE
437,1,2,2,3,3,3,15% Discount On Amex Is Not Displayed Anywhere Which Is So Very The Same Was Told On Asking By Them The Bill Was Actually Made,India,41,19978,FALSE,FALSE,FALSE,FALSE
438,1,1,1,1,1,1,Very Good Better Then Before,India,44,12735,FALSE,FALSE,FALSE,TRUE
439,1,1,2,1,1,1,Very Good Better Then Before,India,17,9114,FALSE,FALSE,FALSE,TRUE
440,1,1,1,1,1,1,Keep It Up,India,11,15806,FALSE,FALSE,FALSE,FALSE
441,1,1,1,1,1,1,Good Service,India,8,19984,FALSE,FALSE,FALSE,TRUE
442,1,1,1,1,1,1,Keep It Up,India,45,11820,FALSE,FALSE,FALSE,FALSE
443,1,1,1,1,1,1,Very Good Better Then Before,India,36,19625,FALSE,FALSE,FALSE,TRUE
444,1,1,1,1,1,1,Great Service,India,47,17579,FALSE,FALSE,FALSE,FALSE
445,2,1,2,1,2,2,Very Good Service Lovely Prescntion,India,30,4864,FALSE,FALSE,FALSE,TRUE
446,1,1,1,2,1,1,Excellent,India,36,17645,TRUE,FALSE,FALSE,FALSE
447,1,1,1,1,1,3,Everything Was Great,India,40,18545,FALSE,FALSE,FALSE,FALSE
448,1,1,1,1,1,1,Excellent,India,31,11410,TRUE,FALSE,FALSE,FALSE
449,2,2,1,1,1,1,The Club Sandwich Used To Be Different Would Be Good To Have Some Little Tomato Cucumber In It,India,12,7924,FALSE,FALSE,FALSE,TRUE
450,1,1,1,1,1,1,Keep It Up,India,36,6852,FALSE,FALSE,FALSE,FALSE
451,1,1,1,1,1,1,Perfect,India,32,12420,FALSE,FALSE,FALSE,FALSE
452,1,1,1,1,1,1,No Its Perfect,India,7,14950,FALSE,FALSE,FALSE,FALSE
453,1,1,1,1,1,1,Great Food,India,42,2309,FALSE,FALSE,FALSE,FALSE
454,1,1,1,2,2,1,Good Food,India,31,14442,FALSE,FALSE,FALSE,TRUE
455,1,1,2,1,1,1,No Its Perfect,India,30,12624,FALSE,FALSE,FALSE,FALSE
456,1,1,2,1,1,1,Excellent Service,India,20,10366,TRUE,FALSE,FALSE,FALSE
457,1,1,1,1,1,1,Very Good Better Then Before,India,35,4486,FALSE,FALSE,FALSE,TRUE
458,1,1,1,1,1,1,Good Food,India,25,3393,FALSE,FALSE,FALSE,TRUE
459,3,3,2,3,3,3,Food Was Served Cold & Then Replaced Bad Quality Of Service,India,1,14442,FALSE,FALSE,FALSE,FALSE
460,1,1,1,1,1,1,Nice Experience,India,45,19610,FALSE,FALSE,FALSE,FALSE
461,1,1,1,1,1,1,A Bit Slow On Delivery The Order,India,36,13565,FALSE,FALSE,FALSE,FALSE
462,1,1,2,1,1,1,Temp. Should Be Prep Managed,India,25,5422,FALSE,FALSE,FALSE,FALSE
463,1,2,1,1,1,1,Very Good Better Then Before,India,9,7731,FALSE,FALSE,FALSE,TRUE
464,1,1,1,1,2,2,Should Keep Some Light Music(In Terms Of Soft Melodies),India,28,9666,FALSE,FALSE,FALSE,FALSE
465,1,1,1,1,1,1,Great Food Enjoyed As Always,India,6,12307,FALSE,FALSE,FALSE,FALSE
466,2,1,1,2,1,2,Music Boring,India,11,4039,FALSE,FALSE,FALSE,FALSE
467,1,1,1,1,1,1,Biryani Should Be Authenhe Dim Biryani Open Biryani Served Do Not Taste The Same.,India,18,19814,FALSE,FALSE,FALSE,FALSE
468,1,1,1,1,1,1,Very Nice,India,47,14620,FALSE,FALSE,FALSE,FALSE
469,1,1,1,1,1,1,Excellent Service Br Mr. Pramod Good Food,India,44,15648,TRUE,FALSE,FALSE,TRUE
470,1,1,1,1,1,1,Superb Experience! Great Food & Desert Keep It Up,India,13,16804,FALSE,FALSE,FALSE,FALSE
471,1,1,2,1,1,1,The Excellent & Nice With Smiley Service By Basant,India,33,14605,TRUE,FALSE,FALSE,FALSE
472,1,1,1,1,1,2,The Food Was Delicious Specially Kalla Jamun.We Enjoyed!!! But The Food Did Not Come At Time It Was Late,India,8,4879,FALSE,FALSE,FALSE,FALSE
473,2,2,2,3,1,1,Perfect,India,30,10744,FALSE,FALSE,FALSE,FALSE
474,1,1,1,1,1,1,Excellent,India,42,15539,TRUE,FALSE,FALSE,FALSE
475,2,1,1,1,1,1,All Is Good.& Wish You Success,India,9,13477,FALSE,FALSE,FALSE,TRUE
476,1,1,2,1,1,1,Excellent,India,40,16228,TRUE,FALSE,FALSE,FALSE
477,1,1,1,1,1,1,Food And Decoration Were Awesome!!!,India,24,13915,FALSE,FALSE,TRUE,FALSE
478,1,1,1,1,1,1,Plz Improve The Choice Of Music,India,35,15327,FALSE,FALSE,FALSE,FALSE
479,1,1,1,1,1,1,Food Was Excellent Deserts Were Ok The Backed Alesha Was A Let Down. The Salt In Me Yomyumm Was Laugh,India,8,4950,TRUE,FALSE,FALSE,FALSE
480,1,1,1,1,1,2,Enjoyed Overall,India,32,7910,FALSE,FALSE,FALSE,FALSE
481,1,1,1,1,1,1,Thanks A Lot To You Keep It Up!!,India,39,6842,FALSE,FALSE,FALSE,FALSE
482,1,1,1,1,1,1,Very Nice & Efficient Staff. Quick Service,India,6,1220,FALSE,FALSE,FALSE,FALSE
483,1,1,1,1,1,1,Good Food Good Ambience Keep It Up,India,50,10456,FALSE,FALSE,FALSE,TRUE
484,1,1,1,1,1,1,Good Food,India,28,13974,FALSE,FALSE,FALSE,TRUE
485,1,1,2,1,1,1,Good Food Good Service,India,22,3763,FALSE,FALSE,FALSE,TRUE
486,3,3,2,1,1,1,We Ordered Cheese Ball Which Were Bad With No Taste Of Cheese It Used To Be Your Signature Dish But Very Disappointing,India,29,17497,FALSE,FALSE,FALSE,FALSE
487,2,2,1,2,2,1,Foo's Was Ok Not Upto The Expiation As The Ambience,India,10,14462,FALSE,FALSE,FALSE,FALSE
488,1,1,1,1,1,1,Nice Food,India,18,2685,FALSE,FALSE,FALSE,FALSE
