Bill_No,F_TASTE,F_PRESENT,F_TEMPERA,S_QUALITY,S_COURTESY,S_PROMPTNE,A_REMARKS,COUNTRY,TABLE_NO,SALE,excellent,worse,awesome,good
74,1,2,1,1,1,2,Bas Hospitality At The Weeding Dust Staff Needs Do Be polite & Decent Super Rude Has Do Wait To 15 Min Despite Of Table Being There,India,2,1157,FALSE,FALSE,FALSE,FALSE
75,1,1,1,1,1,1,Good Job Keep It Up,India,14,18158,FALSE,FALSE,FALSE,TRUE
76,1,1,1,1,1,1,Excellent,India,45,13113,TRUE,FALSE,FALSE,FALSE
77,1,2,1,1,1,1,Good Food & Good Ambience But Hit Nosy Were Attended Promptly,India,33,14461,FALSE,FALSE,FALSE,TRUE
78,1,1,1,1,1,1,Good Food Keep It Up,India,38,15959,FALSE,FALSE,FALSE,TRUE
79,1,1,1,1,1,2,Very Good Keep It Up,India,16,17556,FALSE,FALSE,FALSE,TRUE
80,1,2,1,1,1,2,The Food Menu Is Difficult To Understand,India,40,7066,FALSE,FALSE,FALSE,FALSE
81,1,1,1,1,1,1,Every Thing Is Fine,India,15,19701,FALSE,FALSE,FALSE,FALSE
82,1,1,1,1,1,1,No Time Best In ,India,26,1344,FALSE,FALSE,FALSE,FALSE
83,1,1,1,1,1,2,Butter Chicken Is Awesome,India,25,13010,FALSE,FALSE,TRUE,FALSE
84,1,1,3,1,1,1,Good Food,India,27,8001,FALSE,FALSE,FALSE,TRUE
85,1,1,1,1,1,1,An Excellent Experience As Always,India,20,5180,TRUE,FALSE,FALSE,FALSE
86,1,1,1,1,1,1,The Food Is Good And Very Testy,India,13,7956,FALSE,FALSE,FALSE,TRUE
87,1,1,1,1,1,1,Food I& Services Always Good,India,6,8563,FALSE,FALSE,FALSE,TRUE
88,1,1,1,1,1,2,Awesome Good Quality Delicious Very Computable Keep The Good ,India,17,14636,FALSE,FALSE,TRUE,TRUE
89,1,1,1,1,1,1,Change Recipe For Cheese Ball,India,45,3375,FALSE,FALSE,FALSE,FALSE
90,1,1,3,1,1,1,Good Keep It Up,India,37,4915,FALSE,FALSE,FALSE,TRUE
91,1,1,1,1,1,1,If Someone Come For Minute Before 1 Pm For Lunch They Should Be Immediately Entered,India,38,13037,FALSE,FALSE,FALSE,FALSE
92,1,2,1,1,1,1,Good Keep It Up,India,11,18449,FALSE,FALSE,FALSE,TRUE
93,1,1,1,1,1,2,Professional Staff,India,2,7513,FALSE,FALSE,FALSE,FALSE
94,1,1,1,1,1,1,The Food Is Always Good Keep It Up,India,28,1904,FALSE,FALSE,FALSE,TRUE
95,1,1,1,1,1,1,Good,India,42,13675,FALSE,FALSE,FALSE,TRUE
96,1,1,1,1,1,1,Very Good,India,5,15387,FALSE,FALSE,FALSE,TRUE
97,1,1,1,1,2,1,Gulag Zaman Size Very Good,India,43,17598,FALSE,FALSE,FALSE,TRUE
98,2,1,1,2,2,2,Excellent Keep It Up,India,42,2305,TRUE,FALSE,FALSE,FALSE
99,1,1,1,1,1,1,A Lovely & Worm Place To Dine Food Is Very Testy,India,47,15797,FALSE,FALSE,FALSE,FALSE
100,1,1,2,1,1,1,Good Food Tea Blend Was Very Nice,India,36,503,FALSE,FALSE,FALSE,TRUE
101,1,2,2,1,1,1,Good Job Keep It Up,India,1,3139,FALSE,FALSE,FALSE,TRUE
102,2,2,2,1,1,1,A Little Too Spicy,India,4,12218,FALSE,FALSE,FALSE,FALSE
103,1,2,3,2,1,1,Too Cold We Were Shivering,India,3,8386,FALSE,FALSE,FALSE,FALSE
104,2,1,2,2,2,1,Sizzle Not Upton The Mark,India,47,6675,FALSE,FALSE,FALSE,FALSE
105,1,1,1,1,1,1,Wrong Order Being Placed Twice,India,4,6416,FALSE,FALSE,FALSE,FALSE
106,1,1,1,1,1,1,Very Courteous Staff Excellent Food,India,12,16338,TRUE,FALSE,FALSE,FALSE
107,1,1,1,1,1,1,Everything Fine No Need To Advice,India,47,14631,FALSE,FALSE,FALSE,FALSE
108,1,1,1,1,1,3,Food Quality Was Amazing But The Service Was Really Slow,India,32,12722,FALSE,FALSE,FALSE,FALSE
109,1,1,1,1,1,1,I Just Love Untied Coffee House Food As  Excellent,India,43,17651,TRUE,FALSE,FALSE,FALSE
110,2,2,1,2,2,2,Good,India,27,19278,FALSE,FALSE,FALSE,TRUE
111,1,1,1,1,1,1,Food Is Very Good Little Over Prices Ambience Is Worth Enjoying Politely Recommended Amazing Coffee,India,2,3299,FALSE,FALSE,FALSE,TRUE
112,1,1,2,1,1,2,Please Take Care Of Your Clint's,India,2,2250,FALSE,FALSE,FALSE,FALSE
113,1,1,1,1,1,2,Some Verities On Snag,India,17,11964,FALSE,FALSE,FALSE,FALSE
114,1,1,1,1,1,1,Excellent,India,14,5088,TRUE,FALSE,FALSE,FALSE
115,1,1,1,1,1,1,Everything Was Perfect ,India,32,14569,FALSE,FALSE,FALSE,FALSE
116,1,1,1,1,1,1,Like I Have Traveled Look In Thyme Awesome Well Done,India,48,10939,FALSE,FALSE,TRUE,FALSE
117,1,1,1,1,1,1,Well Done Old Memories Relived,India,35,7829,FALSE,FALSE,FALSE,FALSE
118,1,1,1,1,1,1,Nice Restaurant,India,30,233,FALSE,FALSE,FALSE,FALSE
119,3,2,2,1,1,1,Chili Chicken Taste Not Good At All As Before,India,30,8061,FALSE,FALSE,FALSE,TRUE
120,1,1,1,1,1,1,Good Food,India,50,4317,FALSE,FALSE,FALSE,TRUE
121,1,1,1,1,1,2,None Liked The Food,India,21,4944,FALSE,FALSE,FALSE,FALSE
122,1,1,2,1,2,2,The Staff Was Warm And Food Was Delicious,India,25,14898,FALSE,FALSE,FALSE,FALSE
123,1,1,2,2,1,1,Food Was A Bit Only Ac Is Not Effective In Its Floor,India,49,10193,FALSE,FALSE,FALSE,FALSE
124,1,1,1,1,1,1,We Love Eating Here,India,7,17913,FALSE,FALSE,FALSE,FALSE
125,1,1,1,1,1,1,In Couse The Quantity Is Little Less,India,25,7490,FALSE,FALSE,FALSE,FALSE
126,1,1,2,1,1,1,Great Over All,India,12,18748,FALSE,FALSE,FALSE,FALSE
127,1,1,2,1,1,1,Overall Very Good,India,30,12232,FALSE,FALSE,FALSE,TRUE
128,1,1,1,1,1,1,Everything Was Really Nice But The Lamb Was On The Newey Side,India,45,7727,FALSE,FALSE,FALSE,FALSE
129,1,1,1,1,1,1,Keep It Up,India,33,6204,FALSE,FALSE,FALSE,FALSE
130,1,2,1,1,1,1,Great Service Kapil,India,5,15717,FALSE,FALSE,FALSE,FALSE
131,2,2,3,2,2,2,Noodles Were Too Thick,India,26,15036,FALSE,FALSE,FALSE,FALSE
132,1,1,1,1,1,1,Music Should Not Be Dal Loud,India,6,713,FALSE,FALSE,FALSE,FALSE
133,1,1,1,1,1,1,Excelled Service,India,9,578,FALSE,FALSE,FALSE,FALSE
134,1,1,1,1,1,1,Keep It Up,India,15,3026,FALSE,FALSE,FALSE,FALSE
135,2,2,2,2,2,2,The Fatuous Salad Was Much Below Expectation The Lettuce Was Not Fresh Needs Improvement,India,21,5190,FALSE,FALSE,FALSE,FALSE
136,1,1,1,1,1,1,As Always Brilliant,India,50,17575,FALSE,FALSE,FALSE,FALSE
137,1,1,2,2,2,3,No,India,15,8847,FALSE,FALSE,FALSE,FALSE
